Row Labels,Count of Order Price,,,,,,,,
Eastern Cape,476,,,,,,,,
Alfred Nzo,9,,,,,,,,
Amathole,30,,,,,,,,
Buffalo City,187,,,,,,,,
Cacadu,2,,,,,,,,
Chris Hani,30,,,,,,,,
Joe Gqabi,33,,,,,,,,
Nelson Mandela,23,,,,,,,,
Nelson Mandela Bay,78,,,,,,,,
OR Tambo,65,,,,,,,,
Sarah Baartman,19,,,,,,,,
Free State,1,,,,,,,,
Thabo Mofutsanyane,1,,,,,,,,
Gauteng,54,,,,,,,,
City of Johannesburg,39,,,,,,,,
City of Tshwane,11,,,,,,,,
Ekurhuleni,4,,,,,,,,
KwaZulu-Natal,33,,,,,,,,
eThekwini,28,,,,,,,,
Umgungundlovu,2,,,,,,,,
Umsunduzi,2,,,,,,,,
Uthungulu,1,,,,,,,,
Limpopo,4,,,,,,,,
Greater Sekhukhune,1,,,,,,,,
Vhembe,1,,,,,,,,
Vhembhe,1,,,,,,,,
Waterberg,1,,,,,,,,
Mpumalanga,3,,,,,,,,
Ehlanzeni,1,,,,,,,,
Gert Sibande,1,,,,,,,,
Pickxey,1,,,,,,,,
North West,1,,,,,,,,
Dr Kenneth Kaunda,1,,,,,,,,
Northern Cape,2,,,,,,,,
Pickxey,1,,,,,,,,
Sol Plaatjie,1,,,,,,,,
Western Cape,12,,,,,,,,
City of Cape Town,11,,,,,,,,
Oudtshoorn,1,,,,,,,,
Grand Total,586,,,,,,,,
District,Count of Order Price,,,,,,,,
Alfred Nzo,9,,,,,,,,
Amathole,30,,,,,,,,
Buffalo City,187,,,,,,,,
Chris Hani,30,,,,,,,,
Joe Gqabi,33,,,,,,,,
Nelson Mandela Bay,101,,,,,,,,
OR Tambo,65,,,,,,,,
Sarah Baartman,21,,,,,,,,
EC Total,476,,,,,,,,
