Public Works and Roads,Actual procured,,
Description of Items,Quantity,Total Value,Service Provider Name
Decontamination of Office Spaces,,R69 431.25,Abangani
Decontamination of Office Spaces,24 400,610 590.00,Thebe Ya Afrika
Decontamination of Office Spaces,,R8 327.50,Kedigorositse Construction Project
Decontamination of Office Spaces,,R10 500.00,Senne Projects
Decontamination of Office Spaces,,R10 029.00,Kedigorositse Construction Project
Medical Hand Sanitisers ( 70% Alcohol base) 25 litre,,R112 125.00,Kevali Chem Group
Mask - Other,,R220 800.00,Leratogape GS
,,R42 665.00,Genplay
Goggles / Face-Shield / Viser,,R16 100.00,Leseka Techguard
Wall Mounted Automatic Hand Sanitizer Dispensers,,R469 248.30,Agoti Consulting
Decontamination of Office Spaces,,R141 790.40,Pest Control Specialist as Rasmie
,,R30 222.00,Supra Health Care
Disinfectants 5 litre,,R51 750.00,Promed Technologies
Medical Hand Sanitisers ( 70% Alcohol base) 250ml,,R172 500.00,BioTech Laboratories
Mask - Other,,R113 100.00,African Poncho
Decontamination of Office Spaces,,R5 125.00,Omnipresent Holdings
Decontamination of Office Spaces,,R12 108.00,Reamo Business
Decontamination of Office Spaces,,233 760.00,KEDIGOROSITSE CONSTRUCTION AND PROJECTS
Decontamination of Office Spaces,,12 650.00,Rasmie
Aprons,,R58 000.00,LENEO SUPPLIERS
,,R129 445.00,LEKONCHA
Wall Mounted Manual Foot-Press Sanitizer Dispensers,,R251 116.00,TAUNG PROPERTIES
,,R189 000.00,BIZ AT TRADING
,,R216 000.00,VERO N CARO TRADING
,,R162 000.00,Elliot &Eldah Construction and Coleri
,,R63 000.00,MABERO
Mask - Other,6 000,R150 000.00,HOPE TO SUCCESS
Decontamination of Office Spaces,,R111 268.00,LUNCHEN TRADING
Decontamination of Office Spaces,,R63 479.00,VAPOMAX TRADING
Decontamination of Office Spaces,,R46 410.00,ECHO TRADING LOGISTICS
Decontamination of Office Spaces,,R95 232.00,LARONA GAB CONSTRUCTION
Decontamination of Office Spaces,,R71 298.00,ECHO TRADING LOGISTICS
Decontamination of Office Spaces,,R133 879.00,KEBITSAMANG DISTRIBUTION
Total ,30 400,R4 013 517 ,
