buyer_name,implementation_location_zar,No:,supplier_name,items_description,Unit Price,cost_per_unit_zar,items_quantity,order_amount_zar,"Any donations 
 received from
  external funders /
 companies","The beneficiary targets and method 
 of distribution"
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,1,"Igugulwethusand 
 Trading Pty ltd",N95 face mask,"59,73",59.73,5000,298900,No,"1330 Employees 5 per officials the 
 financial year, Officials reques t
 when necessary and quarterly"
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,2,"Full Throttle
  Project","Latex powder free gloves
  (Boxes)",5,5,7000,35000,No,"Record Management officials, To be 
 distributed daily to cleaners in the
  Head Office 13 Regional
  Officies , Museum, Cultural Center
 and 116 Public Libraries"
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,3,Bendrew,"Office moveable 1 liter 
 bottle sanitizer","186,6",186.6,456,85000,No,"Employees, Delivered at the Head
 Office and 1 liter bottle of sanitizer
 per office"
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,4,"Zanniem Trading E
 nterprise","Infrared temperature 
 screening thermometer","2484,00",2484,152,377568,No,"Delivered at Head Office and
  distributed to Head Office 4 and 
 Museums and 116 Public Libraries"
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,5,"Joel innovations T
 rading","Thermometers Digital Non-
 contact infrared","2527,20",2527.2,98,247665.6,No,"Delivered at Head Office and
  distributed to Head Office 4 and 
 Museums and 116 Public Libraries"
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,6,The Hope Mandate,Automatic Wall Sanitizer Dispenser,1200,1200,560,672001.12,No,"Delivered at Head Office and
  distributed to Head Office 4 and 
 Museums and 116 Public Libraries"
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,7,Siyanda & Thabo PTY LTD,Fumigation and disingecting of Nkangala Libraries,"29,90/2M",,41*840,1029756,No,41 Public Libraries with average 650M2
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,8,Silvex 622,Fumigation and disingecting of Gert-Sibande Libraries,29.75/2M,,44*840,1099560,No,44 Public Libraries with an average of 650 M2
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,9,Guwena Construction and Project,Fumigation and disingecting of Ehlanzeni Libraries,"38,00/2m",,32*840,865536,No,32 Public Libraries with an average of 650M2
"Mpumalanga Department of Sports, Arts and Culture (DSAC)",Mpumalanga,10,World Base Trading,Hand Sanitizer,"186,6",186.6,428,79825,No,"1330 Employees 5 per officials the 
 financial year, Officials reques t
 when necessary and quarterly"
